id,name,class,stream,amount
1,Suzanne,s1,east,$224498.84
2,Cross,s4,alpha,$298034.01
3,Melamie,s5,west,$65644.90
4,Trude,s3,south,$99298.33
5,Ailyn,s3,alpha,$279151.65
6,Nelly,s2,east,$41953.46
7,Ram,s5,south,$262835.55
8,Tiertza,s2,alpha,$139893.91
9,Stanislaus,s3,alpha,$87752.26
10,Peggie,s5,north,$176835.08
11,Jacquelin,s1,alpha,$115425.28
12,Nanon,s2,west,$286697.23
13,Sydney,s3,north,$96709.92
14,Annabal,s3,north,$109212.17
15,Mellicent,s2,alpha,$183341.76
16,Peyter,s4,east,$142008.52
17,Claudina,s4,alpha,$234143.41
18,Huey,s1,west,$200200.13
19,Rosabella,s4,alpha,$42520.96
20,Misty,s1,east,$139292.82
21,Dorian,s2,alpha,$260999.75
22,Ema,s5,alpha,$212505.16
23,Waldon,s4,north,$249641.05
24,Yanaton,s3,north,$258765.03
25,Michal,s5,west,$52167.23
26,Bertrand,s5,west,$263608.82
27,Madlin,s1,north,$194168.10
28,Aila,s3,alpha,$81457.23
29,Jessamyn,s5,east,$80955.46
30,Darnell,s3,west,$98966.50
31,Tandie,s4,alpha,$176427.41
32,Edwin,s4,north,$40159.88
33,Ned,s4,alpha,$53899.83
34,Wilhelm,s2,north,$123720.57
35,Isa,s4,west,$69742.95
36,Carlin,s2,alpha,$295214.67
37,Crissy,s3,west,$164793.41
38,Olenka,s3,south,$153762.61
39,Kristopher,s3,south,$162567.75
40,Roi,s2,east,$105142.20
41,Aldus,s4,north,$144910.37
42,Doris,s5,north,$118384.04
43,Zarla,s5,west,$110307.51
44,Fayina,s1,alpha,$157458.34
45,Arleyne,s2,north,$294186.03
46,Daisey,s5,south,$135417.82
47,Christoph,s4,north,$126166.84
48,Pieter,s1,alpha,$102402.15
49,Levon,s2,north,$279197.08
50,Raynell,s1,south,$106007.82
51,Chelsey,s3,east,$229489.08
52,Marten,s3,east,$92184.80
53,Ariella,s5,north,$69897.09
54,Luz,s3,south,$203958.67
55,Norine,s1,alpha,$167622.63
56,Adams,s3,west,$207973.70
57,Lora,s5,alpha,$225930.38
58,Teddie,s5,south,$256888.07
59,Webb,s1,alpha,$141024.35
60,Irene,s1,alpha,$281016.21
61,Burlie,s4,north,$55066.48
62,Felipa,s1,east,$94137.20
63,Grady,s2,south,$225069.07
64,Ardys,s1,west,$70196.47
65,Nanci,s4,south,$33507.78
66,Cly,s1,alpha,$87486.25
67,Pauly,s4,alpha,$153397.67
68,Marie-ann,s1,south,$131561.61
69,Brian,s4,south,$110615.44
70,Alvina,s1,east,$210346.26
71,Mac,s4,east,$120833.14
72,Marlene,s3,alpha,$224127.24
73,Arline,s2,east,$231831.52
74,Gerhardt,s3,west,$57834.38
75,Bailie,s2,alpha,$199701.19
76,Corrie,s3,south,$215729.14
77,Jeanne,s2,south,$290186.09
78,Laura,s4,west,$122951.57
79,Imogene,s1,alpha,$231503.56
80,Beltran,s4,north,$50537.04
81,Philbert,s3,alpha,$294856.54
82,Goldarina,s5,east,$223756.60
83,Danica,s2,south,$123436.66
84,Aggi,s4,east,$251793.12
85,Minnnie,s4,alpha,$208645.45
86,Der,s4,west,$248668.49
87,Garey,s2,north,$190003.57
88,Inesita,s4,east,$155914.83
89,Isidore,s5,east,$65132.76
90,Raddy,s1,west,$90945.10
91,Den,s4,north,$67348.11
92,Angelita,s4,west,$112405.89
93,Corena,s1,east,$122311.85
94,Susette,s3,alpha,$162407.07
95,Blondie,s3,west,$20406.00
96,Cleavland,s1,east,$216429.97
97,Tandie,s5,east,$70967.56
98,Niccolo,s5,south,$253314.28
99,Abbott,s3,alpha,$238119.55
100,Tabbatha,s3,alpha,$158596.16
101,Wright,s1,west,$44324.37
102,Nani,s1,west,$289845.56
103,Cece,s3,north,$101989.08
104,Normand,s3,east,$106250.35
105,Trumann,s1,alpha,$136348.58
106,Jarret,s5,west,$275088.97
107,Wilone,s4,north,$107950.72
108,Dredi,s5,south,$280089.38
109,Grata,s4,west,$12754.06
110,Gaylor,s2,east,$243540.70
111,Vaughn,s2,south,$38682.78
112,Bartlett,s1,north,$284704.93
113,Pamelina,s5,west,$60986.93
114,Brander,s4,south,$142271.41
115,Gusella,s1,alpha,$214968.04
116,Shay,s3,alpha,$113006.90
117,Ruddie,s2,west,$171652.81
118,Teddy,s4,south,$297133.60
119,Luca,s2,east,$80795.98
120,Faun,s5,east,$166973.09
121,Fawne,s3,north,$284442.73
